# MAE takes the multiplication factor of 2 for avg(|(Target)-(Reconstrcted)|)
Airfoil_name,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,MAE
AH 81-K-144 W-F KLAPPE,1,0,0,0,0,0,0,0,0,0,0,0,0
AH 93-W-480B,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEN AIRFOIL,0,0,1,0,0,0,0,0,0,0,0,0,0
E195  (11.82%),0,0,0,1,0,0,0,0,0,0,0,0,0
EPPLER 664 (EXTENDED) AIRFOIL,0,0,0,0,1,0,0,0,0,0,0,0,0
EPPLER 864 STRUT AIRFOIL,0,0,0,0,0,1,0,0,0,0,0,0,0
FX 79-W-660A,0,0,0,0,0,0,1,0,0,0,0,0,0
GOE 531 AIRFOIL,0,0,0,0,0,0,0,1,0,0,0,0,0
Griffith 30% Suction Airfoil,0,0,0,0,0,0,0,0,1,0,0,0,0
RONCZ R1145MS MAIN ELEMENT,0,0,0,0,0,0,0,0,0,1,0,0,0
S9104,0,0,0,0,0,0,0,0,0,0,1,0,0
USA 22 AIRFOIL,0.199872,0.013451,0.202223,0.694438,0.016467,-0.190601,-0.002114,0.034522,0.003087,0.014909,-0.003204,0.016951,0.001102328
GOE 397 AIRFOIL,0.036806,0.00005,0.087181,1.14079,-0.00175,-0.271007,0.013869,0.008662,-0.028192,0.022295,-0.020324,0.011621,0.001103224
GOE 490 AIRFOIL,0.210622,0.003388,0.113618,0.78643,0.025873,-0.269772,0.037957,0.015983,0.016964,0.050011,0.008158,0.000768,0.001103574
FX 79-W-151 A,-0.014661,-0.008813,0.131398,0.669981,-0.001969,0.072999,0.006718,0.083533,0.085931,-0.021706,-0.013972,0.010561,0.001106492
NACA 65-410,-0.009767,0.002096,-0.107059,1.270248,-0.006689,-0.18362,0.022285,-0.132912,0.107824,0.005559,0.103173,-0.071138,0.0011138
CLARK K AIRFOIL,0.151817,-0.008354,-0.00504,0.828384,0.018501,-0.143464,0.045545,-0.005166,0.028576,0.045174,0.043887,0.00014,0.001115936
GOE 420 AIRFOIL,0.055318,0.0146,-0.021234,0.428712,0.053498,0.217695,-0.024028,0.117732,0.056925,0.029573,0.076258,-0.00505,0.001117324
GOE 399 AIRFOIL,0.036652,0.025178,0.116494,1.049394,-0.004926,-0.211243,-0.003006,0.022833,-0.021588,0.006257,0.012426,-0.028472,0.001117582
NACA 64(1)-212,-0.016033,0.000042,-0.110188,1.243738,0.004577,-0.027185,0.001362,-0.154023,0.054355,0.012779,0.034483,-0.043907,0.00111878
BOEING-VERTOL VR-8 AIRFOIL WITH TAB,0.025145,0.022166,-0.002383,1.284539,0.006071,-0.133357,-0.008852,-0.184588,-0.027995,0.027882,-0.007196,-0.001432,0.001123106
NACA M6,0.079813,-0.002299,0.185592,0.831388,-0.013104,-0.097473,0.033477,-0.019835,0.032747,0.042872,-0.101905,0.028726,0.00112355
NACA M16 AIRFOIL,0.029876,-0.004823,0.307953,0.899547,0.004782,-0.245928,0.016508,0.016465,-0.001901,0.021331,-0.126396,0.082585,0.001124322
MH 112  16.2%,0.025042,-0.000404,0.014712,0.336934,0.109972,0.090632,-0.005854,0.169535,0.095519,-0.007145,0.229682,-0.058625,0.001125634
NACA 64(2)-415 [NACA 6a series from Theory of Wing Sections],-0.075652,-0.000361,-0.097495,1.070964,0.011965,0.096777,-0.011459,-0.075447,0.087807,-0.005023,0.076875,-0.078951,0.001125688
R140 (original),-0.016076,-0.000275,-0.082111,1.270668,0.002583,-0.109412,0.039117,-0.19459,0.061923,0.034373,-0.003023,-0.003179,0.001132354
FX 63-137 13.7% smoothed,-0.015112,0.006061,-0.117057,0.818845,0.033624,0.075776,-0.017166,-0.037998,0.06452,-0.052093,0.320507,-0.079907,0.001136138
E385  (8.41%),-0.014994,-0.009094,0.016223,0.9783,0.016063,-0.092823,-0.012875,0.131212,-0.03196,0.028929,0.085821,-0.094801,0.00113714
